pid	title
81229	Alexandria
81370	Ancyra
81423	Aornos
81427	Apamea
81471	Aradus
81496	Arbela
81741	Heliopolis
81744	Babylon
82368	Bucephala
82434	Byblos
83630	Drapsaca
83743	Ecbatana
83840	Emesa
83867	Ephesus
84198	Gabae
84274	Gaugamela
84281	Gaza
84418	Gordium
84460	Granicus
84616	Gwadar
84662	Halicarnassus
84726	Harmozia
84767	Hecatompylos
85008	Hydaspes
85115	Indus River
85193	Issus
85530	Kandahar
86919	Memphis
86955	Meshed
87340	Nad-i-Ali
87630	Nisibis
87849	Gulf of Oman
87868	Opiana
88088	Paraetonium
88124	Pasargadae
88144	Pattala
88178	Pella
88180	Pelusium
88209	Perge
88220	Persepolis
88224	Persian Gulf
88575	Pura
88671	Quetta
88755	Rhagae
89030	Samarkand
89166	Sardis
89477	Sidon
89553	Siwa
89588	Sogdian Rock
89869	Susa
89869	Susa 
89870	Susia
90084	Tarsus
90108	Taxila
90244	Thapsacus
90539	Troy
90638	Tyana
90645	Tyre
90805	Bactra
91266	Xanthus
None	Gulashkird
81035	Acre
81065	Adrianople
81401	Antioch
81990	Belgrade
82252	Bouillon
83140	Constantinople
83616	Dorylaeum
85324	Jerusalem
87577	Nicaea
87626	Nish
88770	Regensburg
89585	Sofia
90645	Tyre
81774	Bahia
82377	Buenos Aires
82495	Callao
82535	Canary Islands
82576	Cape Verde Islands
82909	Isla de Chiloé
83124	Concepción
83153	Copiapó
83778	El Carmen
84214	Galapagos Islands
85148	Iquique
86551	Strait of Magellan
87175	Montevideo
88423	Port Desire
88827	Rio de Janeiro
89123	Santa Fe
89140	Santiago
89950	Tahiti
90797	Valdivia
90812	Valparaíso
82548	Cannae
82586	Capua
82635	Carthago Nova
83245	Croton
84643	Hadrumetum
87412	Narbo
88233	Perusia
88797	Rhegium
88953	Saguntum
90070	Tarentum
90081	Tarraco
90282	Thurii
90497	Lacus Trasimenus
90499	Trebia
91516	Zama
81221	Aleppo
82473	Cairo
83387	Damascus
81383	Ankara
81613	Astrakhan
83498	Derbent 
85448	Kaffa
87541	New Sarai
89030	Samarkand
89552	Sivas
89576	Smyrna
