id	title	name_src	type	aat_types	parent	close_match
00005	Abbots	alcedo	rio	300008707		
00006	Abacachis	alcedo	pueblo	300008375	País de las Amazonas	
00007	Abacoa	alcedo				
00008	Abacqua	alcedo	pueblo	300008375	Buenos Ayres	indias:9000431
00009	Abacu	alcedo	punta	300008850		
00010	Abades	alcedo	pueblo	300008375	Popayan	indias:5600547
00011	Abancay	alcedo	provincia	300000774	Andahuailas	
00012	Abancay	alcedo	pueblo	300008375	Perú	
00013	Abancay	alcedo	pueblo	300008375	Corregimiento de Cuenca	
00014	Abanes	alcedo	nación de indios	300387171	nuevo Reyno de Granada	
00015	Abangoui	alcedo	pueblo	300008375	Paraguay	
00016	Abaranquen	alcedo	rio	300008707	Guayana ó Nueva Andalucía	
00017	Abecochi	alcedo	pueblo	300008375		
00018	Abeicas	alcedo	nación de indios	300387171		
00019	Abercorn	alcedo	pueblo	300008375		
00020	Abide	alcedo	montaña	300008795	Cartagena	
00021	Abigiras	alcedo	pueblo	300008375	Mainas	
00022	Abipi	alcedo	pueblo	300008375	Nuevo Reyno de Granada	indias:5000484
00023	Abipones	alcedo	nación de indios	300387171	Tucuman	
00024	Abisca	alcedo	reyno	300235096	Reyno dPerú	
00025	Abismes	alcedo				
00026	Abitanis	alcedo	monte	300008795	Corregimiento de Lipes	
00027	Aeitibis	alcedo	lago	300008680		
00028	Abitigas	alcedo			Corregimiento de Tarma	
00029	Aborigen	alcedo	puerto	300120599	Brazil	
00030	Abra	alcedo	isla	300008791		
00031	Abreolhos	alcedo				
00032	Abrojos	alcedo	baxo	300008761		
00034	Abucara	alcedo	pueblo	300008375	Corregimiento de Lucanas	indias:6000496
00035	Abucees	alcedo	pueblo	300008375	Quixos y Macas	
00036	Aburra	alcedo	villa	300008375	Antioquía	
00037	Aca	alcedo	pueblo	300008375	Nueva España	
00038	Acachxla	alcedo	pueblo	300008375	Corregimiento de Yamparaes	
00039	Acacuña	alcedo	monte	300008795	Perú	
00040	Acadia	alcedo	peninsula	300008804		
00041	Acaguato	alcedo	pueblo	300008375	Tancitaro	
00042	Acaia	alcedo	pueblo	300008375	Corregimiento de Caxatambo	
00043	Acambaro	alcedo	pueblo	300008375	Zelaya	indias:1000647
00044	Acamistlahuac	alcedo	pueblo	300008375	Tasco	
00045	Acamuchitlan	alcedo	pueblo	300008375	Zultepec	indias:1001481
00046	Acamon	alcedo	rio	300008707	Guayana ó Nueva Andalucía	
00047	Acaxuchitlan	alcedo	pueblo	300008375	Tula	
00048	Acanti	alcedo	rio	300008707	Darien	
00049	Acantepec	alcedo	pueblo	300008375	Tlapa	
00050	Acapala	alcedo	pueblo	300008375	Chiapa	
00051	Acapazingo	alcedo	pueblo	300008375	Cuernavaca	
00052	Acapetlahuaiap	alcedo			Zaqualpa	
00053	Acaponeta	alcedo	alcaldía mayor	300008347	Reyno de Nueva Galicia	
00054	Acapulco	alcedo	ciudad	300008389		
00055	Acaraga	alcedo	rio	300008707	Paraguay	
00056	Acarai	alcedo	pueblo	300008375	Paraguay	
00057	Acarai	alcedo	rio	300008707	Paraguay	
00058	Acarapu	alcedo	rio	300008707		
00059	Acari	alcedo	pueblo	300008375	Corregimiento de Camaná	indias:6000057
00060	Acari	alcedo	punta	300008850		
00061	Acari	alcedo	rio	300008707		
00062	Acari	alcedo	capitania	300261086	Brazil	
00063	Acariguap	alcedo	provincia	300000774	Venezuela	indias:4000031
00064	Acariguap	alcedo	rio	300008707		
00065	Acarreto	alcedo	puerto	300120599	Darien	
00066	Acaruacar	alcedo			País de las Amazonas	
00067	Acassa	alcedo	rio	300008707	la Guayana	
00068	Acasabastlan	alcedo	pueblo	300008375	Reyno de Goatemala	
00069	Acatepec	alcedo	pueblo	300008375		
00070	Acatepec	alcedo	pueblo	300008375	Cozamaloapan	
00071	Acatepec	alcedo	alcaldía mayor	300008347	Nexapa	
00072	Acatepec	alcedo	alcaldía mayor	300008347	Huamelula	
00073	Acatepec	alcedo	alcaldía mayor	300008347		
00074	Acatepeque	alcedo	pueblo	300008375		
00075	Acatepeque	alcedo	alcaldía mayor	300008347	Igualapa	
00076	Acatic	alcedo	pueblo	300008375	Reyno y Obispado de Nueva Galicia	
00077	Acatico	alcedo	pueblo	300008375	Cuquio	
