id	lon	lat	country	campname
10001			Armenien	Armenien/ - / Alawerdi/ Ejlar 
10002			Armenien	Armenien/ - / - / Armlu 
10003	44.8338058	39.9753273	Armenien	Arrnenien/ - / - /Ararat 
10004	44.8338058	39.9753273	Armenien	Armenien/ - / - /Ararat 
10005	43.9708162	40.619903	Armenien	Armenien/ - / Arthik/ -
10006	43.9708162	40.619903	Armenien	Armenien/ - / Arthik/ Arthik 
10007	44.2935926	40.1632626	Armenien	Armenien/ - / - / Etschmiadsin 
10008	44.4991029	40.1791857	Armenien	Armenien/ - / - / Jerewan 
10009	44.4991029	40.1791857	Armenien	Armenien/ - / - / Jerewan 
10010	44.4991029	40.1791857	Armenien	Armenien/ - / - / Jerewan 
10011	44.4991029	40.1791857	Armenien	Armenien/ - / - / Jerewan 
10012	44.4991029	40.1791857	Armenien	Armenien/ - / - / Jerewan 
10013	44.4991029	40.1791857	Armenien	Armenien/ - / Jerewan/ Molotja 
10014	44.4970268	40.807399	Armenien	Armenien/ - / - / Kirowakan 
10015	44.157209	40.1211586	Armenien	Armenien/ - / Oktemberjan/ -
10016	45.3351942	40.3449984	Armenien	Armenien/ - / Sewan/ Sewan 
10017	43.8629578	40.3832774	Armenien	Armenien/ - / Talin/ Werchni Talin 
10018	44.6544515	41.000927	Armenien	Armenien/ - / - / Tumanjan 
10019	46.2472486	40.7829049	Aserbaidshan	Aserbaidshan/ - / - /Alabaschly 
10020	46.146419	40.5550831	Aserbaidshan	Aserbaidshan/ - / - / Bajan 
10021	49.8670924	40.4092617	Aserbaidshan	Aserbaidshan/ - / - / Baku
10022	49.8670924	40.4092617	Aserbaidshan	Aserbaidshan/ - / - / Baku
10023	49.8670924	40.4092617	Aserbaidshan	Aserbaidshan/ - / - / Baku
10024	49.6317411	40.5854765	Aserbaidshan	Aserbaidshan/ - / - / Baku, Sumgait
10025	46.3070296	40.5876116	Aserbaidshan	Aserbaidshan/ - / - / Chanlar
10026	46.3070296	40.5876116	Aserbaidshan	Aserbaidshan/ - / - / Chanlar
10027	46.3070296	40.5876116	Aserbaidshan	Aserbaidshan/ - / - / Chanlar
10028	46.3070296	40.5876116	Aserbaidshan	Aserbaidshan/ - / - / Chanlar
10029	46.3070296	40.5876116	Aserbaidshan	Aserbaidshan/ - / - / Chanlar, Koschtschu
10030	46.3070296	40.5876116	Aserbaidshan	Aserbaidshan/ - / Chanlar/ -
