id	title	title_source	start	end	title_uri	ccodes	variants	types	aat_types	matches	lon	lat	description
Usaybia_188	Emesa	LHOM	1200		https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/			settlement	300008347				the modern Homs (Ḥimṣ) in Syria
MapOE_1949	Eski Musul	Transportation Map	1892	2020			اسكى موصل;Beled; Şehrabad	Place	300008347				
phgis_49	Góra	Historical Atlas of Poland	1550	1600				settlement	300008347		16.074648	52.62206	
Usaybia_234	Ḥarrān	LHOM	1200		https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/			settlement	300008347				an ancient town (Carrhae) of Upper Mesopotamia, in the modern Turkish province of Diyarbakır
Usaybia_241	Herat	LHOM	1200		https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/		Harāt	settlement	300008347				a city in modern-day Afgh-anistan
Usaybia_249	Homs	LHOM	1200		https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/		Ḥimṣ	settlement	300008347				a city in Syria
oape_529	Livorno	oape	1850				Livorno@it; ليفورنو@ar; Livorno@en; Livourne@fr; Livorno@de; Livorno@tr			gn:3174659	10.32615	43.54427	
MapOE_2120	Luziçe	Transportation Map	1892	2020			لوزيچه	Place	300008347				
phgis_23	Marzysz	Historical Atlas of Poland	1550	1600				settlement	300008347		20.708761	50.77913	
phgis_31	Przeginia	Historical Atlas of Poland	1550	1600				settlement	300008347		19.690265	50.23863	
oape_89	Qanawat	oape	1850				Qanawat@; Qanawāt@; قنوات@ar						
phgis_38	Rudka	Historical Atlas of Poland	1550	1600				settlement	300008347		22.731057	52.72158	
oape_347	Salzburg	oape	1850				Salzburg@fr; سالزبورغ@ar; Salzburg@en; Salzburg@de			gn:2766824	13.04399	47.79941	
oape_340	Saxony	oape	1850				Saxony@en; إمارة ساكس@ar; Sachsen@de			gn:2842567	13	51	
phgis_45	Sokołowo	Historical Atlas of Poland	1550	1600				settlement	300008347		18.191665	52.0643	
phgis_48	Żabno	Historical Atlas of Poland	1550	1600				settlement	300008347		17.953431	52.63089	
oape_292	Zurich	oape	1850				زوريخ@de-Arab-AR; زيورخ@ar; Zurich@en; Zurich@fr; Zürich@de; Zürih@tr			gn:2657896	8.55	47.36667	
DhiMu_3	Abu Tij	DhiMu	1257	1375			Ⲁⲡⲟⲑⲏⲕⲏ, Ⲑⲁⲡⲟⲑⲏⲕⲏ, Ⲧⲁⲡⲟⲑⲏⲕⲏ, Ⲧⲁⲡⲟⲑⲓⲕⲉ, Ⲧⲁⲡⲟⲑⲓⲕⲏ, Ⲧⲁⲡⲟⲑⲩⲕⲏ, أبو تيج‎, بو تيج, Ἄβοτις, Ἀποθήκη	Settlement	300008347		31.32018371	27.043246	According to https://pleiades.stoa.org/places/756536
oape_515	Constantine	oape	1850				Constantine@en; قسنطينة@ar; Constantine@fr; Constantine@de			gn:2501152	6.61472	36.365	
phgis_28	Czypiec	Historical Atlas of Poland	1550	1600			Szczypiec	settlement	300008347		19.93554	50.52755	
KIMA_8531	Danzig	KIMA	2000				Gdansk	Settlement	300008347				
DhiMu_5	Adana	DhiMu	0610	1346			Ἄδανα, Ադանա	Settlement	300008347		35.3325011	36.9949537	According to https://pleiades.stoa.org/places/648548
Travelab_2	Gebal	Benjamin of Tudela	1168	2000		LB	גבל; Gubail	settlement	300008347				
oape_291	Geneva	oape	1850				جنيف@fr-Arab-AR; جنيف@ar; Geneva@en; Genève@fr; Genf@de; Cenevre@tr			gn:2660646	6.14569	46.20222	
phgis_41	Grabionowo	Historical Atlas of Poland	1550	1600			Grabianowo	settlement	300008347		16.987539	51.75686	
Usaybia_219	Granada	LHOM	1200		https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/		Gharnāṭah	settlement	300008347				city in al-Andalus
oape_342	Halle	oape	1850				Halle@de; Halle@en; Halle@fr			gn:2911522	11.97947	51.48158	
DhiMu_4	Akhmim	DhiMu	0600	1401			Ⲭⲙⲓⲙ, Ⲭⲙⲓⲛ, إخميم, اخميم, Πάννος, Πάνος, Πάνους, Πανόπολις, Πανός, Χέμμις, Ϣⲙⲓⲛ, Ⲁϣⲙⲓⲛ, Ⲉϣⲙⲓⲛ	Settlement	300008347		31.7451755	26.5648875	According to https://pleiades.stoa.org/places/756613
oape_201	Al Mafraq	oape	1850				Qalʿat al-Mafraq@; Al Mafraq@; Al Mafraq@ar-Latn-x-ijmes; Qalʿat al-Mafraq@ar-Latn-x-ijmes; Al Mafraq@; El-Fedein@; Kalat el Mafrak@; Mafraq@; Qal'at al Mafraq@; Qal'at el Mafraq@; المفرق@ar; Al Mafraq@en; Mafraq@en			gn:250582	36.20804	32.34289	
DhiMu_24	al-Anbar	DhiMu	0600	1401			ܐܢܒܐܪ, Peroz Shabur, الانبار	Settlement	300008347		43.715833	33.378611	Location according to https://pleiades.stoa.org/places/894043, is sometimes identified with Pumbedita, sometimes it is said, that Pumbedita is modern day Falluja
oape_3	Istanbul	oape	1850				Constantinople@; İstanbul@; Astāna@ar-Latn-x-ijmes; Istanbul@en; Consple@en; Constple@en; الأستانة@ar; الاستانة@ar; الآستانة@ar; دار السلطنة@ar; القسطنطينية@ar; استانبول@ar; Byzance@fr; Istanbul@fr; Byzantion@de; Istanbul@de; İstanbul@tr			gn:745044	28.94966	41.01384	
phgis_22	Jasień	Historical Atlas of Poland	1550	1600				settlement	300008347		20.231259	50.95425	
phgis_35	Jasionówka	Historical Atlas of Poland	1550	1600				settlement	300008347		23.03645	53.39411	
Usaybia_282	Jerusalem	LHOM	1200		https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/		al-Quds;Bayt al-Muqaddas;Bayt al-Maqdīs;Īliyāʾ	settlement	300008347				
DhiMu_22	Amid	DhiMu	0603	1401			ܐܡܝܕ, Amed, Diyarbakır, Karaamit, آمد, ديار بكر‎Ամիդ, Ամիթ	Settlement	300008347		40.23686886	37.91061711	Historic centre of modern Diyarbakir.
DhiMu_25	Ana	DhiMu	0629	1401			Anatha, Anatha munimentum, العانة, حديثة عانة, عانات, عانة, عانة‎, ’Ανάθω, Ἄναθα πόλις, Ἀναθὼ νῆσος, τὸ Ἀνάθων φρούριον	Settlement	300008347		41.9875	34.372222	Centre of modern city of Ana according to google maps.
DhiMu_23	Anazarbus	DhiMu	0650	1401			Anavarza, Anavarza Kalesi, آنازربى, عين زربة, عين زربى, ناورزى, Ἀνάβαρζα, Ἀνάζαρβα, Ἀνάζαρβος, Ἰουστινούπολις	Settlement	300008347		35.89835	37.25564	According to imperium.ahlfeldt.se/places/21496
DhiMu_26	Antioch	DhiMu	0600	1401			ܐܢܛܝܐܟܝ, ܐܢܛܝܘܟܝܐ, Anṭākeye, Antakya, Antiokʿ, Theopolitana civitas, انطاكية, אנטוכיא הגדולה, Θεούπολις, ἡ Μεγάλη Ἀντιόχεια, Ἀντιόχεια, Ἀντιόχεια ἡ ἐπì Δάφνης, Ἀντιόχεια πόλις, Ἀντιόχεια πρώτη Σύρων, ἡ Ἀντιόχου μεγαλόπολις	Settlement	300008347		36.1652	36.2016	Modern town of Antakya
DhiMu_28	Apamea am Orontes	DhiMu	0611	1371			Apamea, Apamenorum civitas, Apamia, Claudia Apamea, آفاميا, أفاميا, فاميا, قلعة المضيق, Κλαυδία Ἀπάμεια, Ἀπάμεια πρ̣ὸς τῷ Άξίῳ, Ἀπάμια πόλις, Πέλλα, Φαρνάκη, Χερσόνησος ἡ Συριακή	Settlement	300008347		36.398	35.418	Ruins still existent
DhiMu_32	Arabissus	DhiMu	0600	1033			Afşin, Yarpuz, Ἀραβισός, Ἀραβισσός	Settlement	300008347		36.916667	38.25	Centre of the modern town of Afshin according to https://pleiades.stoa.org/places/628925
DhiMu_33	Arbil	DhiMu	0600	1401			Erbil, اربل	Settlement	300008347		44.009167	36.191111	Citadel of Arbil according to Google Maps. The metropolitan see of the Church of the East is often called "of Hazza and Erbil" or "of Adiabene". Hazza seems to be the name of the Province. There is also a village near Arbil with a local tradition of a monks' and bishops' monastery nearby. Fiey claims that it is not sure when the residence moved to Arbil, but since Arbil is already part of the name of the metropolitan see, I (RB) presume that the relocation from Hazza to Arbil happened before the 7th century.
DhiMu_35	Arsamosata	DhiMu	0644	1201			ܐܪܫܡܫܛ, ܐܪܫܝܡܫܛ, Arsamosata, Arsamosatim, Arşimşat, Haraba, Harabe, شمشاط, Ἀρσαμόσατα, Ἀρχημχατ, Ἀρχιμχατ, Ἀσμόσατον, Ἀσμώσατον, Աշմուշա, Աշմուշատ, Արշամաշատ, Արշամոշատ	Settlement	300008347		39.51092	38.66087	Modern Haraba under the lake of the Keban Dam near Elâzığ, cf. https://pleiades.stoa.org/places/874354
DhiMu_36	Arzan	DhiMu	0600	1401			ارزن	Settlement	300008347		41.34829044	37.96341808	There are two Arzon. Sometimes it is difficult to differ between them. According to Fiey, OCN 53f., there is a Azun of the Persians and a Arzun of the Greek (= Erzurum). This article deals with Arzun of the Persians, the capital of the ancient region of Arzene. The geolocation is estimated according to Fiey, Nisibe 186 and his references to Taylor's map and Taylors description on p. 26.
DhiMu_37	Asyut	DhiMu	0600	1401			Ⲥⲓⲟⲟⲩⲑ , Ⲥⲓⲟⲟⲩⲧ , Ⲥⲓⲱⲟⲩⲧ , Lykopolis, اسيط, اسيوط, سيوط, Λεγοῦ, Λεδοῦ, Λεκώ, Λικών, Λύκον, Λυκὸς	Settlement	300008347		31.1825335	27.181346	According to http://imperium.ahlfeldt.se/places/22145
