id	title	name_src	type	aat_types	ccodes	geowkt
1	Witwatersrand	ne_mountains	mountain_range_6	300386831;300008795	BW;ZA	MULTIPOLYGON(((28.8967391285212 -26.6158993468809,28.8239852222713 -26.8870175109434,28.3542586597712 -26.8672421203184,27.9310408863337 -26.569512628131,27.1438094410213 -26.2388241515684,26.9917098316463 -26.1064999328184,26.1582137378963 -25.8816464171934,25.7150985035212 -25.3789608703185,25.5166121753962 -25.0150692687559,24.8552352222712 -24.9092343078184,24.7494002613337 -24.5653622375059,25.2785750660212 -24.4727108703184,26.0326033863338 -24.5322811828185,26.8659774097712 -24.6909725890685,27.8648787769588 -25.0614559875059,28.4931746753963 -25.5310604796935,28.8106795582088 -25.9741757140684,28.8967391285212 -26.6158993468809)))
2	Jabal Bin Ghunaymah	ne_mountains	mountain_range_6	300386831;300008795	LY;NE;TD	MULTIPOLYGON(((14.0271102222713 21.9881045593691,13.3921004566462 21.9087588562441,13.2465926441463 22.7951113953066,14.4769393238338 24.1709048523378,15.1781111988337 25.0705020203065,16.3554793628963 26.2611148132753,16.8184920582088 26.3405215515565,17.2285262378962 26.1552798523379,17.0963240894588 25.6790225281191,15.5352889332087 23.7740542664004,15.1516219410212 22.9802920593691,14.0271102222713 21.9881045593691)))
3	Wasatch Range	ne_mountains	mountain_range_6	300386831;300008795	US	MULTIPOLYGON(((-111.292775031635 42.2684390320253,-111.200184699604 42.1890322937441,-111.048512336322 42.2234561218691,-110.941883918354 42.0606753601504,-110.992787238666 41.8971621765566,-111.081288215229 41.7354190124941,-111.122425910541 41.5664126648378,-111.134022590229 41.3953311218691,-111.160450812885 41.1836611999941,-111.213368293354 40.9190737976503,-111.292775031635 40.6676699890565,-111.411854621479 40.0723941101503,-111.451527473041 39.7945620789004,-111.570546027729 39.5299746765566,-111.663197394916 39.278631903119,-111.848378058979 39.2653872742128,-111.888050910541 39.5299746765566,-111.835133430073 39.7681338562441,-111.766896125385 40.021551824994,-111.675404426166 40.2113711609316,-111.778675910541 40.3653628601503,-111.821949836322 40.6941592468691,-111.821949836322 40.9058291687441,-111.901295539447 41.1704165710879,-111.993885871479 41.5672671570253,-111.888050910541 41.6863467468691,-111.755787726948 41.8715274109316,-111.755787726948 42.0020816101503,-111.705189582416 42.3008486999941,-111.719838019916 42.4455020203065,-111.705311652729 42.6413028015566,-111.557362433979 42.6520449890566,-111.473133918354 42.5817324890566,-111.397328254291 42.5009219421816,-111.32866370351 42.3611514343691,-111.292775031635 42.2684390320253)))
4	Lebombo Mountains	ne_mountains	mountain_range_6	300386831;300008795	SZ;MZ;ZA	MULTIPOLYGON(((32.1450962069257 -27.4821171554735,31.9791365894588 -27.7932675109435,31.8601180347713 -27.4889462218809,31.7939559253962 -27.0920956359434,31.7806502613338 -26.1130917296935,31.8733016285212 -25.650079034381,31.8864852222712 -25.2003720031309,31.7541610035213 -24.5653622375059,31.7277938160212 -23.8773739562559,31.8071395191462 -23.4276669250059,31.9923201832087 -23.6921932921935,32.1378279957088 -24.1948788390685,32.2039901050838 -24.7108700500059,32.2304793628962 -25.2797177062559,32.3494979175837 -25.8088925109434,32.2966414722712 -26.0337460265685,32.2701522144587 -26.7349179015684,32.1908065113337 -27.3964169250059,32.1450962069257 -27.4821171554735)))
5	Ruwenzori Range	ne_mountains	mountain_range_6	300386831;300008795	CD;UG	MULTIPOLYGON(((30.2461043628963 0.265814520306634,29.8668319019588 -0.073724053912144,29.6728621753963 0.049750067181577,29.6728621753963 0.265814520306634,29.7037459644588 0.477484442181591,29.7962752613338 0.642828680462813,30.0828963550837 0.891974188275356,30.2329207691462 1.10809967655663,30.4533797535212 1.17865631718162,30.4356795582088 0.940497137494091,30.2923690113338 0.629645086712799,30.2461043628963 0.265814520306634)))
6	Moyen Atlas	ne_mountains	mountain_range_6	300386831;300008795	MA	MULTIPOLYGON(((-3.4750870433538 33.8811099304629,-3.66026770741627 33.5570132507754,-3.87852942616624 33.3122622742128,-4.08360755116627 33.0476748718691,-4.46727454335377 32.8161685242128,-4.66569983632249 32.7831485046816,-5.00963294179127 32.7566592468691,-5.39329993397877 32.8624942078066,-5.67113196522871 33.0278384460879,-5.26097571522874 33.6562564148378,-4.96336829335377 33.9406802429629,-4.21587073476002 34.2846133484316,-3.87193762929121 34.2978579773379,-3.73302161366624 34.2647769226504,-3.42210852772874 34.251532293744,-3.40892493397871 34.0795962585878,-3.4750870433538 33.8811099304629)))
7	Loma Mountains	ne_mountains	mountain_range_6	300386831;300008795	GN;SL	MULTIPOLYGON(((-10.6320694652287 8.24298737186911,-11.2405899730412 7.95197174686906,-11.8358658519475 8.29590485233784,-11.8755997386663 8.89124176640031,-11.6903580394475 9.30133698124408,-11.2009171214787 9.52625153202536,-10.73784339101 9.47333405155662,-10.3277481761662 9.40717194218155,-10.1160782542913 9.18225739140036,-10.380665656635 8.71924469608786,-10.6320694652287 8.24298737186911)))
8	Mbang Mountains	ne_mountains	mountain_range_6	300386831;300008795	CM;TD	MULTIPOLYGON(((13.1584578785213 6.78339264530661,12.9908553394587 6.71283600468162,13.0438338550838 7.24201080936911,13.3789168628962 7.71826813358786,14.3314315113338 8.24744293827533,14.9223738941463 8.37091705936906,15.4250594410213 8.37970612186908,15.6630965503963 8.18573639530658,15.5926619800838 7.8858706726503,15.1604110035213 7.86823151249405,14.7812606128963 7.73590729374409,14.2520858082088 7.66535065311911,13.8287459644588 7.51544830936912,13.4406844410213 7.25086090702534,13.1584578785213 6.78339264530661)))
9	Maya Mountains	ne_mountains	mountain_range_5	300386831;300008795	BZ;GT	MULTIPOLYGON(((-88.9810684886662 16.2402407898379,-89.31792151601 16.1114566101504,-89.6647232738225 16.1807925476504,-89.5458267894475 16.4086978210878,-89.31792151601 16.616766668744,-89.2089737621038 17.0031802429629,-89.0107315746037 17.2509219421816,-88.3745011058538 17.2529971374941,-88.3072403636663 17.0031802429629,-88.3751114574162 16.7440860046815,-88.6342667308538 16.4978701843691,-88.9810684886662 16.2402407898379)))
10	Front Range	ne_mountains	mountain_range_5	300386831;300008795	US	MULTIPOLYGON(((-104.955983039447 38.5642764343691,-105.106312629291 38.432440496869,-105.293141242573 38.4421450867129,-105.466420051166 38.4735171570254,-105.622670051166 38.4144961609316,-105.781056281635 38.4061343445253,-105.984486457416 38.5176455749941,-106.145192023822 38.7776553406191,-106.168446418354 38.9393374695253,-105.98784339101 39.0140445007754,-105.932972785541 39.1406924499941,-105.98784339101 39.5035464539003,-106.093678351948 39.7152163757754,-106.212757941791 39.9268862976503,-106.120472785541 40.0853945984316,-106.252430793354 40.204657293744,-106.381459113666 40.3799502624941,-106.318592902729 40.4692446960879,-106.146595832416 40.548651434369,-105.908497687885 40.8925845398379,-105.736500617573 41.002020574994,-105.524830695697 41.002020574994,-105.41899573476 40.8661563171816,-105.247059699604 40.7338320984316,-105.075062629291 40.5883242859315,-105.061818000385 40.3766543640566,-105.141224738666 40.1649844421815,-105.194142219135 39.8739688171816,-105.091053840229 39.6250674499941,-105.061818000385 39.3977114929629,-104.916310187885 39.199286199994,-104.731068488666 39.1198794617128,-104.572377082416 39.0140445007754,-104.70464026601 38.8817813171816,-104.823719855854 38.7230288757753,-104.955983039447 38.5642764343691)))
11	Bitterroot Range	ne_mountains	mountain_range_5	300386831;300008795	US	MULTIPOLYGON(((-114.811940070698 47.4174868835878,-114.806630012104 47.3214785828066,-114.954457160541 47.3565127624941,-115.056752082416 47.3257510437441,-115.043202277729 47.2671572937441,-114.959339973041 47.2529971374941,-114.750721808979 47.1144473328066,-114.687184211322 47.0201480164004,-114.535023566791 47.0160586609316,-114.406361457416 47.0003115906191,-114.375294562885 47.0309512390565,-114.253529426166 47.0159976257753,-114.169850226948 46.9245059265566,-113.980946418354 46.8665225281191,-114.044422980854 46.6076113953065,-114.044422980854 46.4488589539003,-114.097340461323 46.1710269226503,-114.084095832416 46.0122744812441,-113.951832648823 45.8800112976504,-113.753407355854 45.8138491882754,-113.515248176166 45.7741763367129,-113.515248176166 45.575751043744,-113.455738898823 45.3574282898379,-113.21098792226 45.1126773132753,-113.038990851948 45.0333316101503,-112.906727668354 45.0333316101503,-112.827320930072 44.8878237976504,-112.761219855854 44.7158267273378,-112.443714973041 44.6761538757753,-112.271717902729 44.7025820984316,-112.179127570698 44.7554995789003,-111.901295539447 44.7554995789003,-111.583790656635 44.7025820984316,-111.438282844135 44.6364199890566,-111.37212073476 44.5703189148378,-111.438282844135 44.5174014343691,-111.676380988666 44.4512393249941,-111.947621223041 44.4843203796816,-112.07329260976 44.3586489929629,-112.232045051166 44.2924868835878,-112.443714973041 44.2263247742128,-112.615712043354 44.0808169617129,-112.761219855854 43.9749820007754,-113.06548010976 44.2792422546816,-113.409413215229 44.6496646179628,-113.607899543354 44.808417059369,-113.63432776601 45.0200869812441,-113.799000617572 45.1715762390565,-113.898426887104 45.3450381531191,-114.000111457416 45.4180361999941,-114.137013312885 45.4160830749941,-114.315419074604 45.3565737976504,-114.543873664448 45.312811590619,-114.658009406635 45.3770205749941,-114.77202307851 45.6021792664003,-114.811695930073 45.8270938171816,-114.758778449604 46.0122744812441,-114.732350226948 46.1974551453065,-114.692677375385 46.3430239929629,-114.891102668354 46.5414492859316,-114.983693000385 46.7002017273379,-115.168934699604 46.8589541687441,-115.327626105854 47.0177066101503,-115.499623176166 47.0970523132753,-115.631947394916 47.2028872742129,-115.808522101948 47.2379824890566,-115.936207648822 47.3352114929628,-116.134632941791 47.3616397156191,-116.359547492572 47.3616397156191,-116.677052375385 47.4278018249941,-116.782887336323 47.573309637494,-116.782887336323 47.7453067078066,-116.729969855854 47.8511416687441,-116.534413215229 47.9959170593691,-116.479115363666 48.1324527039003,-116.301503058979 48.1826846374941,-116.065846320698 48.108710028119,-115.921864387104 48.0795352234316,-115.78569495351 48.0224063171815,-115.585133430072 47.8605410828066,-115.509510871479 47.8267886414003,-115.412220832416 47.7166812195253,-115.37553870351 47.6268985046815,-115.273793098041 47.5836856140566,-115.162892219135 47.5740420593691,-115.009755012104 47.5372988953066,-114.811940070698 47.4174868835878)))
