id	title	title_source	start	end	geowkt	description	variants	types	parent_name	ccodes
717_1	Marienborch	Croniken	1480	1491	POINT(19.03797600030766901 54.03613199933293032)	Marienborch stadt ende slot	Marienburg;Malbork	town; castle	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_2	Eluinghen	Croniken	1480	1491	POINT(19.40427425018878083 54.15598902161654848)	Eluinghen een stadt dat slot off geworpen	Elbing;Elbląg	town;castle	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_3	Lossen	Croniken	1480	1491	POINT(19.08709099729979997 53.51936100136739327)	Lossen een stadt	Lessen;Łasin	town	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_4	Grundens	Croniken	1480	1491	POINT(18.75356944906635093 53.48374948333778889)	Grundens een slot	Graudenz;Grudziądz	castle	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_5	Thoren	Croniken	1480	1491	POINT(18.59844533696031021 53.0137940810893511)	Thoren twe steden slot off geworpen	Thorn;Toruń	town;castle	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_6	Tauchel	Croniken	1480	1491	POINT(17.85955000712953122 53.5876200058524006)	Tauchel een stadt ende een slot	Tuchel;Tuchola	town;castle	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_7	Slechauwe	Croniken	1480	1491	POINT(17.3590236261815889 53.66717831302039343)	Slechauwe een slot	Schlochau;Człuchów	castle	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_8	Danssijc	Croniken	1480	1491	POINT(18.64663798639906034 54.3520249843539105)	Danssijc twe steden dat slot verdoruen	Danzig;Gdańsk	town;castle	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_9	Ffridelant	Croniken	1480	1491	POINT(17.23641200002508 53.53805199423334926)	ffridelant bijder kons een stadt	Preußisch Friedland;Debrzno	town	Dit sijn die steden ende sloten die aenden Coninck van polen mit horen hulperen aen die pomersche sijde gebleuen sijn	PL
717_10	Sabevijts	Croniken	1480	1491	POINT(18.59331656117944931 54.14604206149711274)	Sabevijts een slot	Sobbowitz;Sobowidz	castle	Dit hout die coninck tot synre hant	PL
717_13	Mossijck	Croniken	1480	1491	POINT(18.48926579938775916 53.72195705029805879)	Mossijck een slot	Ossiek;Osiek	castle	Dit hout die coninck tot synre hant	PL
717_14	Swetse	Croniken	1480	1491	POINT(18.44738599662719025 53.4093839946618516)	Swetse een stadt	Schwetz;Świecie	town	Dit hout die coninck tot synre hant	PL
717_15	Rostenborch	Croniken	1480	1491	POINT(21.3750399992463791 54.07657000074163989)	Rostenborch een stadt	Rastenburg;Kętrzyn	town	Dit hout die coninck tot synre hant	PL
717_16	Ffristat	Croniken	1480	1491	POINT(19.26365389783700977 53.60853014637466885)	ffristat een stadt	Freystadt in Westpreußen;Kisielice	town	Dit hout die coninck tot synre hant	PL
717_18	Bisscops Weerda	Croniken	1480	1491	POINT(20.95470700105250828 53.86269599955296172)	Bisscops weerda	Bischofswerder;Biskupiec		Dit hout die coninck tot synre hant	PL
717_19	Engelborch	Croniken	1480	1491	POINT(18.84966354387008991 53.43850478232535295)	Engelborch een slot	Engelsberg;Górą Aniołów	castle	Dit hout die coninck tot synre hant	PL
717_20	Dat Alle Huis	Croniken	1480	1491	POINT(18.38074658144345008 53.30728612629884111)	Dat alle huis een slot	Althaus-Kulm;Starogród Chełmiński	castle	Dit hout die coninck tot synre hant	PL
717_21	Burgelate	Croniken	1480	1491	POINT(18.46357600008456146 53.10690599997445815)	Burgelate een slot	Birgelau;Bierzgłowo	castle	Dit hout die coninck tot synre hant	PL
717_22	Scoennes	Croniken	1480	1491	POINT(18.44421003385962976 54.069063626590669)	Scoennes een stadt ende een slot	Schöneck;Skarszewy	town;castle	Dit hout die coninck tot synre hant	PL
717_23	Colmesey	Croniken	1480	1491	POINT(18.60455616358834163 53.18447667529358824)	Colmesey een stadt	Kulmsee;Chelmza	town	Dit hout die coninck tot synre hant	PL
717_24	Toern	Croniken	1480	1491	POINT(18.59844399372052948 53.01378999680022019)	Toern een slot	Thorn;Toruń	castle	Dit hout die coninck tot synre hant	PL
717_26	Landesborch	Croniken	1480	1491	POINT(20.49295828037734069 54.28533886447222301)	Landesborch een stadt	Landsberg in Ostpreußen;Górowo Iławeckie	town	Dit hout die coninck tot synre hant	PL
717_28	Cransborch	Croniken	1480	1491	POINT(19.34726227127985965 53.92149029506917657)	Cransborch een stadt	Christburg;Dzierzgoń	town	Dit hout die coninck tot synre hant	PL
717_29	Melhusen	Croniken	1480	1491	POINT(19.72040898837072831 54.18631701092723318)	Melhusen een stadt	Mühlhausen in Ostpreußen;Młynary	town	Dit hout die coninck tot synre hant	PL
717_30	Tolkemits	Croniken	1480	1491	POINT(19.5273050164340809 54.3202042628283408)	Tolkemits een stadt	Tolkemit;Tolkmicko	town	Dit hout die coninck tot synre hant	PL
717_31	Ffrouwenborch	Croniken	1480	1491	POINT(19.68007199752343084 54.35747800089556137)	ffrouwenborch een stadt	Frauenburg;Frombork	town	Dit hout die coninck tot synre hant	PL
717_33	Elffinc	Croniken	1480	1491	POINT(19.40449184051566078 54.15606233930758862)	Elffinc een slot	Elbing;Elbląg	castle	Dit hout die coninck tot synre hant	PL
717_34	Aldenborch	Croniken	1480	1491	POINT(21.19693200055689886 54.48985500046887864)	Aldenborch een stadt	Allenburg;Дрýжба;Druschba	town	Dit hout die coninck tot synre hant	RU
717_35	Gardouwen	Croniken	1480	1491	POINT(21.31395200089705 54.35757900029337009)	Gardouwen een slot	Gerdauen;Железнодоро́жный;Zheleznodorozhny	castle	Dit hout die coninck tot synre hant	RU
717_36	Nessiten	Croniken	1480	1491	POINT(18.89508526272121003 52.83440629323337134)	Nessiten een slot	Nessau;Nieszawa	castle	Dit hout die coninck tot synre hant	PL
718_1	Conincsberch	Croniken	1480	1491	POINT(20.50901600569185845 54.71028901144305223)	Conincsberch drie steden ende een heerlick slot	Königsberg;Калининград;Kaliningrad	town;castle	Dese nabescreuen steden ende sloten hebben die duytsche oirden van pruyssen weder in ghekregen sint dat sy den strijt wonnen voir der Coentse tegens den Coninck van Polen	RU
718_2	Der Coents	Croniken	1480	1491	POINT(17.55692676282463083 53.69440061496725036)	Der Coents een stat	Konitz;Chojnice	town	Dese nabescreuen steden ende sloten hebben die duytsche oirden van pruyssen weder in ghekregen sint dat sy den strijt wonnen voir der Coentse tegens den Coninck van Polen	PL
718_3	Dersouwe	Croniken	1480	1491	POINT(18.77725978437517895 54.09191169379152342)	Dersouwe een stadt	Dirschau;Tczew	town	Dese nabescreuen steden ende sloten hebben die duytsche oirden van pruyssen weder in ghekregen sint dat sy den strijt wonnen voir der Coentse tegens den Coninck van Polen	PL
718_4	Der Meuwe	Croniken	1480	1491	POINT(18.82247170317805995 53.83556417650955694)	Der meuwe een stadt ende een slot	Mewe;Gniew	town;castle	Dese nabescreuen steden ende sloten hebben die duytsche oirden van pruyssen weder in ghekregen sint dat sy den strijt wonnen voir der Coentse tegens den Coninck van Polen	PL
718_5	Nywendyck	Croniken	1480	1491	POINT(19.00873666081017888 54.13606462737080705)	Nywendyck een stadt	Neuteich;Nowy Staw	town	Dese nabescreuen steden ende sloten hebben die duytsche oirden van pruyssen weder in ghekregen sint dat sy den strijt wonnen voir der Coentse tegens den Coninck van Polen	PL
