id	title	title_source	ccodes	geo_id	lat	lon	start	end
1	Suvarnabhumi	Broek					1800	2000
2	Karpuradvipa	Broek					1800	2000
3	Poli	Broek	MY				1800	2000
4	Brunei Bay	Broek	BN				1800	2000
5	Puradvipa	Broek	ID				1800	2000
6	Tandjungnegara	Broek	ID				1800	2000
7	Tanjungpura	Broek	ID				1800	2000
8	Kapuas	Broek	ID				1800	2000
9	Katingan	Broek	ID				1800	2000
10	Sampit	Broek	ID	http://sws.geonames.org/1628884	-2.5315	112.9496	1800	2000
11	Kuta Lingga	Broek	MY				1800	2000
12	Kuta Waringin	Broek	ID				1800	2000
13	Sambas	Broek	ID	http://sws.geonames.org/1628979	1.33333	109.25	1800	2000
14	Wawai	Broek	ID				1800	2000
15	Lawai	Broek	ID				1800	2000
16	Kadangdangan	Broek	ID				1800	2000
17	Landa	Broek	ID	http://sws.geonames.org/7568598	-9.5923	120.2233	1800	2000
18	Samedang	Broek					1800	2000
19	Tirem	Broek	ID				1800	2000
20	Sedu	Broek	ID				1800	2000
21	Burune	Broek	ID				1800	2000
22	Kalka	Broek	ID				1800	2000
23	Saludung	Broek	ID				1800	2000
24	Solot	Broek	ID				1800	2000
25	Pasir	Broek	ID	http://sws.geonames.org/8750909	2.13994	100.80747	1800	2000
26	Baritu	Broek	ID				1800	2000
27	Sawaku	Broek	ID				1800	2000
28	Tabalung	Broek	ID				1800	2000
29	Tunjung Kute	Broek	ID				1800	2000
30	Malano	Broek	ID				1800	2000
31	Tandjungpuri	Broek	ID				1800	2000
32	Sulu islands	Broek	PH				1800	2000
33	Tidung	Broek	ID				1800	2000
34	Tiroon	Broek	ID				1800	2000
35	Maloedo	Broek	MY				1800	2000
36	Serudong	Broek	ID				1800	2000
37	Sebatik Island	Broek	ID;MY				1800	2000
38	Matan	Broek	ID				1800	2000
39	Sadong	Broek	ID				1800	2000
40	Sedua	Broek	ID				1800	2000
41	Sarawak	Broek	ID	http://sws.geonames.org/1733038	2.5	113.5	1800	2000
42	Langgouw	Broek	ID				1800	2000
43	Siduk	Broek	ID				1800	2000
44	Borneo	Broek	ID				1800	2000
45	Peniraman	Broek	ID				1800	2000
46	Rio Succadano	Broek	ID				1800	2000
47	A gramde isla de Maquacer	Broek					1800	2000
48	Burney	Broek	BN				1800	2000
49	Borney	Broek	BN				1800	2000
50	Brunei	Broek	BN	http://sws.geonames.org/1820814	4.5	114.66667	1800	2000
51	Tanjung	Broek	ID	http://sws.geonames.org/7036666	-7.1146	112.3866	1800	2000
52	Balambangan	Broek	MY				1800	2000
53	Moluccas	Broek	ID	http://sws.geonames.org/1636627	-3.23846	130.14527	1800	2000
54	C tanhumbagubaa	Broek	MY				1800	2000
55	Lloucam	Broek					1800	2000
56	Lloutam	Broek					1800	2000
57	Lochac	Broek					1800	2000
58	Lo Kuok	Broek					1800	2000
59	Laue	Broek	ID				1800	2000
60	Pamgun	Broek	ID				1800	2000
61	Pamgan	Broek	ID				1800	2000
62	Pulu Laut	Broek	ID				1800	2000
63	Pamuca	Broek	ID				1800	2000
64	Tanhumpura	Broek	ID				1800	2000
65	Tamnjompura	Broek	ID				1800	2000
66	Quedomdoan	Broek					1800	2000
67	Samper	Broek	ID				1800	2000
68	Cate	Broek	ID				1800	2000
69	Kendavangan	Broek					1800	2000
70	Kutei	Broek	ID				1800	2000
71	Pamukan	Broek	ID				1800	2000
72	Tanjompura	Broek	ID				1800	2000
73	Maquater	Broek					1800	2000
74	Java Minor	Broek	ID				1800	2000
75	San Pedro	Broek	MY				1800	2000
76	Chinabalo	Broek	MY				1800	2000
77	Mt. S. Paulo	Broek	MY				1800	2000
78	S. Pedro	Broek	MY				1800	2000
79	Chinabolo	Broek	MY				1800	2000
80	Kinabalu	Broek	MY	http://sws.geonames.org/1733432	5.9749	116.0724	1800	2000
81	Monte de Adas	Broek	MY				1800	2000
82	Porto de borneo	Broek	BN				1800	2000
83	Chinabatanga	Broek	MY				1800	2000
84	Kinabatangan	Broek	MY				1800	2000
85	Chinabalu	Broek	MY				1800	2000
86	Pertam	Broek	MY				1800	2000
87	Pertan	Broek	MY				1800	2000
88	Tanara	Broek	MY				1800	2000
89	Lanaca	Broek	MY				1800	2000
90	Lanara	Broek	MY				1800	2000
91	Tanaram	Broek	MY				1800	2000
92	Tabaran	Broek	MY				1800	2000
93	Bisaia	Broek	MY				1800	2000
94	Bacaia	Broek	MY				1800	2000
95	Ombaro	Broek	MY				1800	2000
96	Tamiambara	Broek	MY				1800	2000
97	Tanganbarahon	Broek	MY				1800	2000
98	Rajang delta	Broek	MY				1800	2000
99	Tanjung Sirik	Broek	MY				1800	2000
100	Tasacire	Broek	MY				1800	2000
101	Carena	Broek	MY				1800	2000
102	Santubong	Broek	MY				1800	2000
103	Tajorato	Broek	MY				1800	2000
104	Tatomrato	Broek	MY				1800	2000
105	Tatonrato	Broek	MY				1800	2000
106	Tanjung Datu	Broek	MY				1800	2000
107	Tamaratos	Broek	MY				1800	2000
108	Tangaranto	Broek	MY				1800	2000
109	Tanjung Ratus	Broek	MY				1800	2000
110	Lamocata	Broek	ID				1800	2000
111	Ye de la mocatam	Broek	ID				1800	2000
112	Lane	Broek	ID				1800	2000
113	Lano	Broek	ID				1800	2000
114	Taiapura	Broek	ID				1800	2000
115	Lave	Broek	ID				1800	2000
116	Java Major	Broek					1800	2000
117	Lao	Broek	ID				1800	2000
118	Sukadana	Broek	ID	http://sws.geonames.org/7582364	-8.2273	115.5413	1800	2000
119	Teyen	Broek	ID				1800	2000
120	River of Lauwe	Broek	ID				1800	2000
121	Tajan	Broek	ID	http://sws.geonames.org/8401699	-6.8977	113.7907	1800	2000
122	Lauwe	Broek	ID				1800	2000
123	Kapuas river	Broek	ID				1800	2000
124	Pulu	Broek	ID				1800	2000
125	Maja	Broek	ID	http://sws.geonames.org/1636825	-6.6559	106.3636	1800	2000
126	Mendawak	Broek	ID				1800	2000
