id	title	title_source	start	end	title_uri	ccodes	variants	types	aat_types	matches	parent_name	geowkt	geo_source	geo_id	description
amh_201c	Anguilla, unnamed fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Anguilla-unnamed-fort.201c		fort zonder naam Angullia;Nederlands fort	fortification	300006888	http://www.wikidata.org/entity/Q104534141		POINT(-63.034773 18.231634)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Anguilla-unnamed-fort.201c	Locality associated with Dutch West India Company. 
amh_300c	Anthonio, fort (Taiwan)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1642	1661	https://www.atlasofmutualheritage.nl/en/Anthonio-fort-(Taiwan).300c		fort Anthonio;fort Antonio;fort Anthonie;fort San Domingo	fortification	300006888	http://www.wikidata.org/entity/Q104534214		POINT(121.432971 25.17541)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Anthonio-fort-(Taiwan).300c	Locality associated with Dutch East India Company. Er hebben 2 forten gelegen, allebei Anthonio geheten. De eerste was van aarde en hout (bamboe)en had twee bastions ('Diemen' en 'Swaevelpunt') en een rondeel ('Burgt Maria'). Het was niet bestand tegen de moessonregens en de wallen stortten steeds in. Uiteindelijk is het toen in 1644 vervangen door het stenen redoubt dat er nu nog steeds staat (zij het nu zonder puntdak en met enige Engelse toevoegingen).
amh_138c	Arguin, unnamed fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Arguin-unnamed-fort.138c		fort zonder naam Arguin	fortification	300006888	http://www.wikidata.org/entity/Q104534095		POINT(-16.447695 20.612005)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Arguin-unnamed-fort.138c	Locality associated with Dutch West India Company. 
amh_290c	Arraial do Bom Jesus, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1635	1635	https://www.atlasofmutualheritage.nl/en/Arraial-do-Bom-Jesus-fort.290c		fort Arraial do Bom Jesus;fort Real do Bom Jesus	fortification	300006888	http://www.wikidata.org/entity/Q104534209		POINT(-34.930833 -8.056389)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Arraial-do-Bom-Jesus-fort.290c	Locality associated with Dutch West India Company. 
amh_554c	Bangkalan, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1677	1863	https://www.atlasofmutualheritage.nl/en/Bangkalan-fort.554c	ID	fort Bangkalan;fort Bancalang;fort Bancalling;fort Bancallang;fort Erfprins	Fort	300006888		Madura Island; Java's North East Coast (VOC area)	POINT(112.75099 -7.02436)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Bangkalan-fort.554c	Locality associated with Dutch East India Company. Following the First Javanese War of Succession (1677-1797) between sultan (soesoehoenan) Pakubuwono I and his uncle, Pangerang Puger, the Dutch gained control of the eastern half of Madura. In 1705 the Dutch recognized Puger, who took the title of Pakubuwono I, as lord of east Madura. In 1707 they signed a treaty in which the VOC got the right to build a fort in Bangkalan (Bancallan, Balangakallang) in West-Madura, the small wooden fort with two diagonal bastions stood opposite the royal palace. Cakrangingrat supported the Dutch during the Chinese-Mataram War (1740-1743). After the war there was a conflict with the company because Cakrangingrat demanded the two other regencies of Madura as reward for his support. He was captured and banished. His son was installed as prince- regent under the name Chakraningrat I in 1707. The wooden fort was replaced by a brick fort of 80 x 82,4 m with four half-bastions and a moat. On each bastion were four canons. The walls were 0.6 m thick and 4.5 m high. Inside the fort stood four buildings. The garrison of 25 soldiers and one European lieutenant also served as guard of honour of the sultan  In the 19th century the fort was classified as a defence work of the 4th rank against an indigenous enemy. In 1863 the garrison were removed and the fort disarmed. The civil government should keep the fort in such a good condition that it could be defended in case of war or rebellion. In 2008 the fort of Bangkalan housed the local police force.
amh_186c	Barbuda, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Barbuda-fort.186c		fort Barbuda;fort Koeput	fortification	300006888				Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Barbuda-fort.186c	Locality associated with Dutch West India Company. 
amh_190c	Barcadera, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Barcadera-fort.190c		fort Barcadera	fortification	300006888				Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Barcadera-fort.190c	Locality associated with Dutch West India Company. 
amh_79c	Barneveld, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1558	1920	https://www.atlasofmutualheritage.nl/en/Barneveld-fort.79c		fort Barneveld	Fort	300006888	http://www.wikidata.org/entity/Q104534056		POINT(127.48187 -0.624048)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Barneveld-fort.79c	Locality associated with Dutch East India Company. In 1558 the Portuguese arrived at Labuha in the South Peninsula of Bacan Island, where they built a fort. Afterwards the Spaniards took over the fort. Around the fort lived circa 80 native people, who had become Christians. - In November 1609 a Dutch fleet under command of rear admiral Simon Jansz Hoen and ships with the Sultan of Ternate and his soldiers arrived before Labua. The attackers under command of Captain Louis Schot stormed the fort. All the people inside, man, woman and children, were massacred. - Hoen strengthened the fort by building four stone bastions filled with earth. On the <terre-plein> (courtyard) a strong square building with walls of one foot thick was erected. The lower floor was used as a storage for provisions, merchandise and gunpowder. The second floor was used as <corps de garde> (guard room) of the soldiers. The well inside the fort didn't yield enough water. Every day drinking-water had to be carried from the river to the fort. This was acceptable in time of peace but not during a siege. A small lodge outside the fort was used for the sale of merchandise. - In December 1609 the fleet left Bacian. Senior merchant Adriaan Dusses and 50 Europeans stayed behind in the fort, which was called Barneveld. In this period about 50 Europeans, including a merchant, an officer and a teacher, several slaves and a 25 Chinese, lived inside in the fort. - In 1627 a conspiracy of local people to raid the fort, kill everyone inside and hand the fort to the Spaniards was discovered. As a safety measure the members of the garrison afterwards no longer attended church in the village but held their religious serves inside the compound. - In 1696 the Dutch handed over Fort Barneveld to Sultan Alawaddien of Ternate. One sergeant and six soldiers stayed behind to keen an eye on the new owner. The next years the Sultan asked the Company several times to send a garrison or give him gunpowder and arms to defend the fort. It was not before 1733 that the VOC decided to quarter soldiers at Barneveld again, in order to prevent illegal trade. - Around 1860 the fort had a small garrison. In 1888 a fire caused much damage. The buildings were apparently repaired, as Victor Ido van de Wall, who visited Barneveld in the 1920s, wrote that fort was in a good condition. Today the fort is in ruins.
amh_241c	Barretta, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Barretta-fort.241c		fort Barretta	fortification	300006888	http://www.wikidata.org/entity/Q104534176		POINT(-34.881349 -8.091267)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Barretta-fort.241c	Locality associated with Dutch West India Company. 
amh_8942c	Batavia, batterij (Banda)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1795	1810	https://www.atlasofmutualheritage.nl/en/Batavia-battery-(Banda).8942c		batterij Batavia;Pintu Besar	coastal battery	300006888	http://www.wikidata.org/entity/Q104534271		POINT(129.869079 -4.518846)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Batavia-battery-(Banda).8942c	Locality associated with Dutch East India Company. The Battery Batavia was one of the new defensive structures built hastily at the end of the eighteenth century to protect Banda from British invasion. The task of these batteries was to fire at approaching ships and prevent a landing ; they were not all-round defensible buildings like the larger forts. Batavia and the similar battery Sibergsburg were built on Gunung Api to cover the Lonthor strait between Lonthor and Gunung Api. Ultimately, these batteries did not much help the Dutch : when the British invaded in 1796, Banda quickly surrendered. In 1803, Banda was returned to the Dutch under the articles of the Treaty of Amiens. In 1810, when the conflict had resumed, the defenses once again quickly fell to the British. Even in 1803, when the British had handed Banda back to the Dutch in 1803, the batteries were already in disrepair, and the battery quickly turned into a ruin. At present, there are some remnants present, but the basic shape of the battery could not be identified.
