id	whg_pid	title	ccodes	lon	lat	added	matches
amh_201c	6598941	Anguilla, unnamed fort		-63.034773	18.231634	[{'id': 'wd:Q104534141', 'coordinates': [[-63.0348, 18.2316]]}]	wd:Q104534141;wd:Q104534141
amh_300c	6598942	Anthonio, fort 	TW	121.432971	25.17541	[]	wd:Q104534214
amh_138c	6598943	Arguin, unnamed fort		-16.447695	20.612005	[]	wd:Q104534095
amh_290c	6598944	Arraial do Bom Jesus, fort	BR	-34.930833	-8.056389	[]	wd:Q104534209
amh_554c	6598945	Bangkalan, fort	ID	112.75099	-7.02436	[]	
amh_186c	6598946	Barbuda, fort				[]	
amh_190c	6598947	Barcadera, fort				[]	
amh_79c	6598948	Barneveld, fort	ID	127.48187	-0.624048	[]	wd:Q104534056
amh_241c	6598949	Barretta, fort	BR	-34.881349	-8.091267	[]	wd:Q104534176
amh_8942c	6598950	Batavia, batterij 		129.869079	-4.518846	[]	wd:Q104534271
amh_16c	6598951	Batavia, kasteel	ID	106.811354	-6.127672	[]	wd:Q2586938
amh_8772c	6598952	Batavia, stadsmuur van	ID	106.80903	-6.12741	[]	wd:Q104534226
amh_286c	6598953	Batenburg, fort	ID	106.81437	-6.142628	[]	wd:Q104534207
amh_123c	6598954	Batenstein, fort	GH	-1.921191	4.821631	[]	wd:Q472588
amh_178c	6598955	Beekenburg, fort	CW	-68.861938	12.072513	[]	wd:Q5027351
amh_3c	6598956	Beeverwijk, fort		128.765269	-3.646295	[]	wd:Q104534005
amh_270c	6598957	Aan de baai, fort		-62.96666667	17.46666667	[]	wd:Q104534194
amh_140c	6598958	Aardenburgh, fort	AO	13.223051	-8.807725	[]	wd:Q1408988
amh_226c	6598959	Adriaensz., fort				[]	
amh_99c	6598960	Altingburg, fort	MY	101.244892	3.341437	[]	wd:Q104534073
amh_1c	6598961	Amersfoort, fort	ID	128.3	-3.55	[]	wd:Q104533993
amh_113c	6598962	Amsterdam, fort 	GH	-1.114697	5.182842	[]	wd:Q478784
amh_164c	6598963	Amsterdam, fort 	CW	-68.934204	12.104625	[]	wd:Q2424320
amh_2c	6598964	Amsterdam, fort 		128.083173	-3.582671	[]	wd:Q2651405
amh_281c	6598965	Amsterdam, fort 				[]	
amh_71c	6598966	Amsterdam, fort 	ID	124.9166667	1.533333333	[]	wd:Q104534050
amh_154c	6598967	Amsterdam, fort 		-74.013736	40.704014	[]	wd:Q104534105
amh_272c	6598968	Amsterdam, fort 		-62.992575	17.486185	[]	wd:Q104534503
amh_180c	6598969	Amsterdam, fort 		-63.059528	18.014832	[]	wd:Q104534481
amh_101c	6598970	Amsterdam, pakhuis 	TH	100.5	13.73333333	[]	wd:Q104534074
amh_260c	6598971	Andries, fort	GY	-57.51666667	6.266666667	[]	wd:Q104534189
amh_474c	6598972	Angke, fort	ID	106.775969	-6.143392	[]	wd:Q17507355
amh_182c	6598973	Bel Air, schietpost		-63.059275	18.027483	[]	wd:Q104534128
amh_13c	6598974	Belgica, fort 		129.898894	-4.526072	[]	wd:Q4982061
amh_90c	6598975	Belvidere, fort	ID	112.75	-7.233333333	[]	wd:Q104534066
amh_213c	6598976	Bennet, fort	TT	-60.78579	11.207319	[]	wd:Q104534153
amh_8867c	6598977	Bergen, fort	US	-74.066047	40.729412	[]	wd:Q104534244
amh_8781c	6598978	Beschermer, fort De 	ID	109.675787	-6.879292	[]	wd:Q104534235
amh_134c	6598979	Beschermingh, fort 	ID	108.594249	-6.746968	[]	wd:Q104534092
amh_9036c	6598980	Beversreede, fort	US	-75.21689	39.901858	[]	wd:Q2754717
amh_8887c	6598981	Beverwijck, fort 	US	-73.75082	42.648851	[]	wd:Q104534257
amh_128c	6598982	Blekenburg, fort				[]	
amh_244c	6598983	Bona Ventura, fort	BR	-35.4	-9.033333333	[]	wd:Q104534179
amh_271c	6598984	Bouillé, fort		-62.985121	17.474488	[]	wd:Q104534195
amh_258c	6598985	Brandwacht, fort 	GY	-57.6454	5.986284	[]	wd:Q104534188
amh_307c	6598986	Brandwagt, post 		-54.721986	5.981403	[]	wd:Q104534217
amh_8869c	6598987	Brooklyn, fort		-73.998355	40.69715	[]	wd:Q104534246
amh_228c	6598988	Brun, fort do	BR	-34.870863	-8.05286	[]	wd:Q104534164
amh_179c	6598989	Bullebaai, fort	CW	-69.01175	12.169736	[]	wd:Q104534125
amh_229c	6598990	Buraco, fort	BR	-34.88333333	-8.1	[]	wd:Q104534166
amh_252c	6598991	Burt, fort		-64.614539	18.4129	[]	wd:Q5470873
amh_184c	6598992	Cabajé, fort				[]	
amh_8919c	6598993	Camocim, fort				[]	
amh_285c	6598994	Carganto, fort	ID	120.185788	-5.555493	[]	wd:Q104534206
amh_109c	6598995	Carolina, fort	ID	120.19725	-5.557834	[]	wd:Q104534080
amh_144c	6598996	Carolusburg, fort	GH	-1.241147	5.103562	[]	wd:Q104534098
amh_185c	6598997	Carpata, fort		-68.352054	12.220083	[]	wd:Q104534130
amh_160c	6598998	Casimir, fort	US	-75.55914	39.663402	[]	wd:Q7886287
amh_217c	6598999	Catharina, fort		-34.840265	-6.969086	[]	wd:Q104534157
amh_30c	6599000	Ceith, fort 		128.02878	-3.59173	[]	wd:Q104534023
amh_222c	6599001	Ceulen, fort	BR	-35.194992	-5.756375	[]	wd:Q3304114
amh_51c	6599002	Chavonis, fort		18.421893	-33.90662	[]	wd:Q104534037
amh_191c	6599003	Chitchie, fort		-62.97929	17.468362	[]	wd:Q104534133
amh_158c	6599004	Christina, fort 	US	-75.538326	39.73744	[]	wd:Q2063470
amh_9220c	6599005	Cobo, fort		127.403805	0.757109	[]	wd:Q104534281
amh_193c	6599006	Coculusbaai, fort				[]	
amh_117c	6599007	Coenraadsburg, fort		-1.350873	5.084794	[]	wd:Q478471
amh_10310c	6599008	Collenburg, fort 		-68.830342	12.050862	[]	wd:Q104534288
amh_59c	6599009	Colombo, kasteel		79.84611111	6.934166667	[]	wd:Q104534043
amh_8866c	6599010	Communipaw, fort	US	-74.06668	40.713997	[]	wd:Q104534243
amh_157c	6599011	Compagniesfort Whorekill	US	-75.146304	38.779151	[]	wd:Q104534107
amh_262c	6599012	Concordia post, fort bij	GY	-57.5	5.716666667	[]	wd:Q104534190
amh_105c	6599013	Concordia, fort 		129.949438	-4.551057	[]	wd:Q104534078
amh_92c	6599014	Concordia, fort 		123.574844	-10.162786	[]	wd:Q10283788
amh_209c	6599015	Concordiabaai, fort		-62.973741	17.501282	[]	wd:Q104534149
amh_82c	6599016	Coornhoop, fort	ZA	18.472198	-33.939531	[]	wd:Q104534061
amh_208c	6599017	Corre Correbaai, fort		-62.946946	17.481401	[]	wd:Q104534148
amh_175c	6599018	Crabbebaai, fort		-69.150396	12.317944	[]	wd:Q104534122
amh_114c	6599019	Crevecoeur, fort		-0.20815	5.53865	[]	wd:Q2424003
amh_69c	6599020	Cronenburg, fort		100.566667	-1.35	[]	wd:Q104534048
amh_10535c	6599021	Dauphin, fort le 		-58.163586	6.822301	[]	wd:Q104534290
amh_11c	6599022	Defensie, fort	ID	127.11405	-3.38499	[]	wd:Q104534012
amh_108c	6599023	Defensie, fort 				[]	
amh_24c	6599024	Delfft, fort 		128.5972222	-3.562222222	[]	wd:Q104534018
amh_41c	6599025	Delfshaven, fort		127.151667	-8.074167	[]	wd:Q104534031
amh_8758c	6599026	Delft, fort 		128.62813	-3.58386	[]	wd:Q104534225
amh_10c	6599027	Den Bosch, fort		128.175644	-3.216483	[]	wd:Q104534011
amh_72c	6599028	Den Briel, fort 	ID	127.412445	-1.56926	[]	wd:Q104534051
amh_36c	6599029	Dender, fort		129.951917	-4.5352	[]	wd:Q104534028
amh_133c	6599030	Dieren, fort	ID	106.803393	-6.121332	[]	wd:Q104534091
amh_9025c	6599031	Dodinga, fort	ID	127.644875	0.857313	[]	wd:Q104534273
amh_198c	6599032	Dolin, fort		-62.96666667	17.46666667	[]	wd:Q104534138
amh_239c	6599033	Domburg, fort	BR	-34.959033	-8.372811	[]	wd:Q104534174
amh_73c	6599034	Doornenburg, fort		125.36057	2.745672	[]	wd:Q104534052
amh_146c	6599035	Dorothea, fort	GH	-2.03565	4.7526505	[]	wd:Q700023
amh_80c	6599036	Duinhoop, fort	ZA	18.465538	-33.919265	[]	wd:Q104534057
amh_4c	6599037	Duurstede, fort		128.65875	-3.57549	[]	wd:Q2433724
amh_234c	6599038	Effogados, fort de	BR	-34.88333333	-8.1	[]	wd:Q104534170
amh_8883c	6599039	Elfsborg, fort 	US	-75.52555	39.548333	[]	wd:Q104534253
amh_145c	6599040	Elise Carthago, fort	GH	-2.267565	4.893	[]	wd:Q104534100
amh_230c	6599041	Ernest, fort	BR	-34.876866	-8.060992	[]	wd:Q104534167
amh_8868c	6599042	Flatbush, fort	US	-73.959506	40.649832	[]	wd:Q104534245
amh_206c	6599043	Four Gun Battery		-62.987956	17.484059	[]	wd:Q104534146
amh_22c	6599044	Frederick, fort	LK	81.21666667	8.566666667	[]	wd:Q3070381
amh_232c	6599045	Frederik Hendrik, fort 	BR	-34.880868	-8.071758	[]	wd:Q104534169
amh_81c	6599046	Frederik Hendrik, fort 	MU	57.722747	-20.37521	[]	wd:Q104534059
amh_205c	6599047	Frederik, fort 		-62.971589	17.465262	[]	wd:Q104534145
amh_104c	6599048	Fredrik Hendrik, fort 		123.065811	-8.43478	[]	wd:Q104534077
amh_52c	6599049	Gelderland, fort 	IN	80.316321	13.4194	[]	wd:Q104534038
amh_10538c	6599050	Gelderland, fort 		-63.054875	18.044035	[]	wd:Q104534295
amh_148c	6599051	Goede Hoop, fort 	GH	-1.101812	5.186752	[]	wd:Q104534465
amh_121c	6599052	Goede Hoop, fort 	GH	-0.489729	5.387507	[]	wd:Q104534082
amh_15c	6599053	Goede Hoop, kasteel de 	ZA	18.427674	-33.925694	[]	wd:Q1049562
amh_53c	6599054	Goet Begin, fort	ID	110.639677	-6.891151	[]	wd:Q104534039
amh_54c	6599055	Goet Gevolgh, fort	ID	112.6333333	-7.2	[]	wd:Q104534040
