id	title	title_source	title_uri	ccodes	matches	variants	types	aat_types	parent_name	lon	lat	geo_source	description
8530072	Liuzhuang	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8530072	CN	tgn:8530072	Liuzhuang;刘庄	inhabited place	300008347	Henan, Zhongguo, Asia, World	114.628099	33.826455	Getty TGN Jun 2017	
8530457	Qingshidong	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8530457	CN	tgn:8530457	Qingshidong;青石洞	inhabited place	300008347	Gansu, Zhongguo, Asia, World	104.023	37.2758	Getty TGN Jun 2017	
8530820	Xiwang	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8530820	CN	tgn:8530820	Xiwang;西网	inhabited place	300008347	Henan, Zhongguo, Asia, World	114.184567	34.805525	Getty TGN Jun 2017	
8531093	Zhangjiazhuang	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8531093	CN	tgn:8531093	Zhangjiazhuang;张家庄	inhabited place	300008347	Gansu, Zhongguo, Asia, World	98.6441	39.7448	Getty TGN Jun 2017	
8531179	Kanglukou	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8531179	CN	tgn:8531179	Kanglukou;康路口	inhabited place	300008347	Gansu, Zhongguo, Asia, World	102.269	37.8125	Getty TGN Jun 2017	
8531207	Fanjiazhai	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8531207	CN	tgn:8531207	Fanjiazhai;范家寨	inhabited place	300008347	Gansu, Zhongguo, Asia, World	102.705	37.8492	Getty TGN Jun 2017	
8531259	Shigaokuang	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8531259	CN	tgn:8531259	Shigaokuang;石膏矿	inhabited place	300008347	Gansu, Zhongguo, Asia, World	103.889	37.2545	Getty TGN Jun 2017	
8531283	Minfanggou	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8531283	CN	tgn:8531283	Minfanggou;民房沟	inhabited place	300008347	Gansu, Zhongguo, Asia, World	103.202	37.2657	Getty TGN Jun 2017	
8531320	Wanglingcun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8531320	CN	tgn:8531320	Wanglingcun;汪岭村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	116.268092	30.515999	Getty TGN Jun 2017	
8531612	Jiannancun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8531612	CN	tgn:8531612	Jiannancun;涧南村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	117.469098	31.731719	Getty TGN Jun 2017	
8532046	Zhangduzijing	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532046	CN	tgn:8532046	Zhangduzijing;胀肚子井	inhabited place	300008347	Gansu, Zhongguo, Asia, World	102.862	39.1039	Getty TGN Jun 2017	
8532075	Xiaoliushugou	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532075	CN	tgn:8532075	Xiaoliushugou;小柳树沟	inhabited place	300008347	Gansu, Zhongguo, Asia, World	102.873	37.2367	Getty TGN Jun 2017	
8532222	Wujiayao	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532222	CN	tgn:8532222	Wujiayao;武家窑	inhabited place	300008347	Gansu, Zhongguo, Asia, World	105.374	34.9658	Getty TGN Jun 2017	
8532239	Dongfancun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532239	CN	tgn:8532239	Dongfancun;东畈村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	116.404114	30.543361	Getty TGN Jun 2017	
8532252	Dongfengcun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532252	CN	tgn:8532252	Dongfengcun;东风村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	116.301527	30.540424	Getty TGN Jun 2017	
8532360	Fulingcun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532360	CN	tgn:8532360	Fulingcun;扶岭村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	115.677641	31.520706	Getty TGN Jun 2017	
8532435	Houxucun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532435	CN	tgn:8532435	Houxucun;后圩村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	117.775467	31.73807	Getty TGN Jun 2017	
8532457	Zaolinping	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532457	CN	tgn:8532457	Zaolinping;枣林坪	inhabited place	300008347	Gansu, Zhongguo, Asia, World	104.951	32.8481	Getty TGN Jun 2017	
8532904	Shanghe	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8532904	CN	tgn:8532904	Shanghe;上河	inhabited place	300008347	Gansu, Zhongguo, Asia, World	102.582	37.7192	Getty TGN Jun 2017	
8533216	Lianggangcun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8533216	CN	tgn:8533216	Lianggangcun;良岗村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	116.990774	31.753387	Getty TGN Jun 2017	
8533525	Zaogang	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8533525	CN	tgn:8533525	Zaogang;枣岗	inhabited place	300008347	Henan, Zhongguo, Asia, World	115.037936	33.632887	Getty TGN Jun 2017	
8533640	Zhulincun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8533640	CN	tgn:8533640	Zhulincun;竹林村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	117.818891	31.471398	Getty TGN Jun 2017	
8533922	Fanjia	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8533922	CN	tgn:8533922	Fanjia;樊家	inhabited place	300008347	Gansu, Zhongguo, Asia, World	106.151	34.8798	Getty TGN Jun 2017	
8533923	Shijiachuan	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8533923	CN	tgn:8533923	Shijiachuan;史家川	inhabited place	300008347	Gansu, Zhongguo, Asia, World	105.311	34.8813	Getty TGN Jun 2017	
8534300	Anjiashan	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8534300	CN	tgn:8534300	Anjiashan;安家山	inhabited place	300008347	Gansu, Zhongguo, Asia, World	105.392	32.759	Getty TGN Jun 2017	
8534974	Gucang Waicun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8534974	CN	tgn:8534974	Gucang Waicun;谷仓外村	inhabited place	300008347	Guangdong, Zhongguo, Asia, World	109.952187	20.608218	Getty TGN Jun 2017	
8535032	Chenjiaping	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8535032	CN	tgn:8535032	Chenjiaping;陈家坪	inhabited place	300008347	Gansu, Zhongguo, Asia, World	104.515	36.4908	Getty TGN Jun 2017	
8535557	Huangjiaquan	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8535557	CN	tgn:8535557	Huangjiaquan;黄家圈	inhabited place	300008347	Gansu, Zhongguo, Asia, World	103.189	38.0728	Getty TGN Jun 2017	
8535599	Shuixingcun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8535599	CN	tgn:8535599	Shuixingcun;水兴村	inhabited place	300008347	Guangdong, Zhongguo, Asia, World	116.464789	24.405221	Getty TGN Jun 2017	
8535681	Yangtiancun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8535681	CN	tgn:8535681	Yangtiancun;洋田村	inhabited place	300008347	Guangdong, Zhongguo, Asia, World	116.179969	23.791958	Getty TGN Jun 2017	
8535758	Jingnancun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8535758	CN	tgn:8535758	Jingnancun;京南村	inhabited place	300008347	Guangdong, Zhongguo, Asia, World	116.421516	23.486237	Getty TGN Jun 2017	
8536002	Shibaxian	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8536002	CN	tgn:8536002	Shibaxian;十八岘	inhabited place	300008347	Gansu, Zhongguo, Asia, World	107.173	35.9529	Getty TGN Jun 2017	
8536048	Qijiaping	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8536048	CN	tgn:8536048	Qijiaping;祁家坪	inhabited place	300008347	Gansu, Zhongguo, Asia, World	107.265	35.6339	Getty TGN Jun 2017	
8536066	Fanjiazui	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8536066	CN	tgn:8536066	Fanjiazui;范家咀	inhabited place	300008347	Gansu, Zhongguo, Asia, World	107.667	35.6377	Getty TGN Jun 2017	
8536427	Kushancun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8536427	CN	tgn:8536427	Kushancun;库山村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	117.367544	30.145634	Getty TGN Jun 2017	
8537322	Xintiancun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8537322	CN	tgn:8537322	Xintiancun;新田村	inhabited place	300008347	Guangdong, Zhongguo, Asia, World	116.108428	24.344312	Getty TGN Jun 2017	
8537363	Shenchencun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8537363	CN	tgn:8537363	Shenchencun;深沉村	inhabited place	300008347	Anhui, Zhongguo, Asia, World	117.589148	30.151321	Getty TGN Jun 2017	
8537787	Fangzhai	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8537787	CN	tgn:8537787	Fangzhai;方寨	inhabited place	300008347	Gansu, Zhongguo, Asia, World	108.01	35.6114	Getty TGN Jun 2017	
8537827	Shangshenjia	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8537827	CN	tgn:8537827	Shangshenjia;上沈家	inhabited place	300008347	Gansu, Zhongguo, Asia, World	106.962	35.1159	Getty TGN Jun 2017	
8537999	Xiejiazui	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/8537999	CN	tgn:8537999	Xiejiazui;谢家咀	inhabited place	300008347	Gansu, Zhongguo, Asia, World	104.959	36.0342	Getty TGN Jun 2017	
